YEAR,MONTH,DAY,TENTHS,MM,IN
1949,1,6,64,6.4,0.251968504
1949,1,7,0,0,0
1949,1,8,0,0,0
1949,1,9,0,0,0
1949,1,10,0,0,0
1949,1,11,0,0,0
1949,1,12,0,0,0
1949,1,13,0,0,0
1949,1,14,0,0,0
1949,1,15,0,0,0
1949,1,16,0,0,0
1949,1,17,0,0,0
1949,1,18,0,0,0
1949,1,19,53,5.3,0.208661417
1949,1,20,0,0,0
1949,1,21,58,5.8,0.228346457
1949,1,22,18,1.8,0.070866142
1949,1,23,5,0.5,0.019685039
1949,1,24,5,0.5,0.019685039
1949,1,25,0,0,0
1949,1,26,0,0,0
1949,1,27,0,0,0
1949,1,28,86,8.6,0.338582677
1949,1,29,0,0,0
1949,1,30,5,0.5,0.019685039
1949,1,31,320,32,1.25984252
1949,2,1,0,0,0
1949,2,2,0,0,0
1949,2,3,0,0,0
1949,2,4,142,14.2,0.559055118
1949,2,5,0,0,0
1949,2,6,0,0,0
1949,2,7,36,3.6,0.141732283
1949,2,8,0,0,0
1949,2,9,236,23.6,0.929133858
1949,2,10,173,17.3,0.681102362
1949,2,11,0,0,0
1949,2,12,0,0,0
1949,2,13,0,0,0
1949,2,14,0,0,0
1949,2,15,0,0,0
1949,2,16,333,33.3,1.311023622
1949,2,17,0,0,0
1949,2,18,0,0,0
1949,2,19,457,45.7,1.799212598
1949,2,20,0,0,0
1949,2,21,0,0,0
1949,2,22,0,0,0
1949,2,23,0,0,0
1949,2,24,0,0,0
1949,2,25,0,0,0
1949,2,26,0,0,0
1949,2,27,201,20.1,0.791338583
1949,2,28,13,1.3,0.051181102
1949,3,1,0,0,0
1949,3,2,0,0,0
1949,3,3,0,0,0
1949,3,4,0,0,0
1949,3,5,0,0,0
1949,3,6,0,0,0
1949,3,7,0,0,0
1949,3,8,0,0,0
1949,3,9,0,0,0
1949,3,10,114,11.4,0.448818898
1949,3,11,0,0,0
1949,3,12,0,0,0
1949,3,13,0,0,0
1949,3,14,0,0,0
1949,3,15,0,0,0
1949,3,16,0,0,0
1949,3,17,0,0,0
1949,3,18,69,6.9,0.271653543
1949,3,19,0,0,0
1949,3,20,0,0,0
1949,3,21,0,0,0
1949,3,22,340,34,1.338582677
1949,3,23,114,11.4,0.448818898
1949,3,24,0,0,0
1949,3,25,81,8.1,0.318897638
1949,3,26,5,0.5,0.019685039
1949,3,27,0,0,0
1949,3,28,66,6.6,0.25984252
1949,3,29,0,0,0
1949,3,30,8,0.8,0.031496063
1949,3,31,91,9.1,0.358267717
1949,4,1,0,0,0
1949,4,2,0,0,0
1949,4,3,10,1,0.039370079
1949,4,4,0,0,0
1949,4,5,234,23.4,0.921259843
1949,4,6,0,0,0
1949,4,7,0,0,0
1949,4,8,0,0,0
1949,4,9,0,0,0
1949,4,10,0,0,0
1949,4,11,137,13.7,0.539370079
1949,4,12,315,31.5,1.24015748
1949,4,13,132,13.2,0.519685039
1949,4,14,0,0,0
1949,4,15,0,0,0
1949,4,16,0,0,0
1949,4,17,0,0,0
1949,4,18,0,0,0
1949,4,19,0,0,0
1949,4,20,0,0,0
1949,4,21,0,0,0
1949,4,22,104,10.4,0.409448819
1949,4,23,5,0.5,0.019685039
1949,4,24,0,0,0
1949,4,25,0,0,0
1949,4,26,0,0,0
1949,4,27,0,0,0
1949,4,28,305,30.5,1.200787402
1949,4,29,239,23.9,0.940944882
1949,4,30,572,57.2,2.251968504
1949,5,1,0,0,0
1949,5,2,147,14.7,0.578740157
1949,5,3,0,0,0
1949,5,4,0,0,0
1949,5,5,0,0,0
1949,5,6,0,0,0
1949,5,7,112,11.2,0.440944882
1949,5,8,0,0,0
1949,5,9,48,4.8,0.188976378
1949,5,10,61,6.1,0.24015748
1949,5,11,69,6.9,0.271653543
1949,5,12,0,0,0
1949,5,13,0,0,0
1949,5,14,0,0,0
1949,5,15,0,0,0
1949,5,16,0,0,0
1949,5,17,0,0,0
1949,5,18,0,0,0
1949,5,19,0,0,0
1949,5,20,0,0,0
1949,5,21,0,0,0
1949,5,22,0,0,0
1949,5,23,30,3,0.118110236
1949,5,24,201,20.1,0.791338583
1949,5,25,0,0,0
1949,5,26,0,0,0
1949,5,27,0,0,0
1949,5,28,0,0,0
1949,5,29,0,0,0
1949,5,30,107,10.7,0.421259843
1949,5,31,122,12.2,0.480314961
1949,6,1,0,0,0
1949,6,2,0,0,0
1949,6,3,0,0,0
1949,6,4,0,0,0
1949,6,5,0,0,0
1949,6,6,0,0,0
1949,6,7,0,0,0
1949,6,8,0,0,0
1949,6,9,0,0,0
1949,6,10,0,0,0
1949,6,11,38,3.8,0.149606299
1949,6,12,0,0,0
1949,6,13,13,1.3,0.051181102
1949,6,14,168,16.8,0.661417323
1949,6,15,15,1.5,0.059055118
1949,6,16,193,19.3,0.75984252
1949,6,17,0,0,0
1949,6,18,0,0,0
1949,6,19,0,0,0
1949,6,20,0,0,0
1949,6,21,0,0,0
1949,6,22,0,0,0
1949,6,23,0,0,0
1949,6,24,282,28.2,1.11023622
1949,6,25,107,10.7,0.421259843
1949,6,26,0,0,0
1949,6,27,0,0,0
1949,6,28,0,0,0
1949,6,29,0,0,0
1949,6,30,0,0,0
1949,7,1,0,0,0
1949,7,2,0,0,0
1949,7,3,0,0,0
1949,7,4,0,0,0
1949,7,5,0,0,0
1949,7,6,0,0,0
1949,7,7,0,0,0
1949,7,8,0,0,0
1949,7,9,66,6.6,0.25984252
1949,7,10,292,29.2,1.149606299
1949,7,11,25,2.5,0.098425197
1949,7,12,577,57.7,2.271653543
1949,7,13,180,18,0.708661417
1949,7,14,10,1,0.039370079
1949,7,15,23,2.3,0.090551181
1949,7,16,64,6.4,0.251968504
1949,7,17,224,22.4,0.881889764
1949,7,18,541,54.1,2.12992126
1949,7,19,86,8.6,0.338582677
1949,7,20,0,0,0
1949,7,21,0,0,0
1949,7,22,0,0,0
1949,7,23,0,0,0
1949,7,24,0,0,0
1949,7,25,0,0,0
1949,7,26,0,0,0
1949,7,27,0,0,0
1949,7,28,0,0,0
1949,7,29,0,0,0
1949,7,30,0,0,0
1949,7,31,48,4.8,0.188976378
1949,8,1,0,0,0
1949,8,2,25,2.5,0.098425197
1949,8,3,94,9.4,0.37007874
1949,8,4,10,1,0.039370079
1949,8,5,0,0,0
1949,8,6,0,0,0
1949,8,7,216,21.6,0.850393701
1949,8,8,0,0,0
1949,8,9,0,0,0
1949,8,10,0,0,0
1949,8,11,0,0,0
1949,8,12,0,0,0
1949,8,13,0,0,0
1949,8,14,0,0,0
1949,8,15,0,0,0
1949,8,16,56,5.6,0.220472441
1949,8,17,246,24.6,0.968503937
1949,8,18,373,37.3,1.468503937
1949,8,19,0,0,0
1949,8,20,23,2.3,0.090551181
1949,8,21,226,22.6,0.88976378
1949,8,22,69,6.9,0.271653543
1949,8,23,36,3.6,0.141732283
1949,8,24,0,0,0
1949,8,25,0,0,0
1949,8,26,0,0,0
1949,8,27,8,0.8,0.031496063
1949,8,28,467,46.7,1.838582677
1949,8,29,0,0,0
1949,8,30,0,0,0
1949,8,31,23,2.3,0.090551181
1949,9,1,0,0,0
1949,9,2,0,0,0
1949,9,3,351,35.1,1.381889764
1949,9,4,0,0,0
1949,9,5,0,0,0
1949,9,6,622,62.2,2.448818898
1949,9,7,300,30,1.181102362
1949,9,8,30,3,0.118110236
1949,9,9,0,0,0
1949,9,10,0,0,0
1949,9,11,0,0,0
1949,9,12,0,0,0
1949,9,13,0,0,0
1949,9,14,0,0,0
1949,9,15,0,0,0
1949,9,16,0,0,0
1949,9,17,0,0,0
1949,9,18,28,2.8,0.11023622
1949,9,19,15,1.5,0.059055118
1949,9,20,0,0,0
1949,9,21,0,0,0
1949,9,22,0,0,0
1949,9,23,76,7.6,0.299212598
1949,9,24,0,0,0
1949,9,25,0,0,0
1949,9,26,0,0,0
1949,9,27,439,43.9,1.728346457
1949,9,28,0,0,0
1949,9,29,0,0,0
1949,9,30,0,0,0
1949,10,1,0,0,0
1949,10,2,0,0,0
1949,10,3,0,0,0
1949,10,4,0,0,0
1949,10,5,0,0,0
1949,10,6,71,7.1,0.279527559
1949,10,7,287,28.7,1.12992126
1949,10,8,0,0,0
1949,10,9,0,0,0
1949,10,10,0,0,0
1949,10,11,0,0,0
1949,10,12,0,0,0
1949,10,13,0,0,0
1949,10,14,0,0,0
1949,10,15,0,0,0
1949,10,16,104,10.4,0.409448819
1949,10,17,46,4.6,0.181102362
1949,10,18,5,0.5,0.019685039
1949,10,19,0,0,0
1949,10,20,0,0,0
1949,10,21,0,0,0
1949,10,22,0,0,0
1949,10,23,0,0,0
1949,10,24,0,0,0
1949,10,25,0,0,0
1949,10,26,117,11.7,0.460629921
1949,10,27,46,4.6,0.181102362
1949,10,28,173,17.3,0.681102362
1949,10,29,0,0,0
1949,10,30,351,35.1,1.381889764
1949,10,31,173,17.3,0.681102362
1949,11,1,373,37.3,1.468503937
1949,11,2,0,0,0
1949,11,3,0,0,0
1949,11,4,0,0,0
1949,11,5,0,0,0
1949,11,6,0,0,0
1949,11,7,0,0,0
1949,11,8,0,0,0
1949,11,9,0,0,0
1949,11,10,0,0,0
1949,11,11,0,0,0
1949,11,12,0,0,0
1949,11,13,86,8.6,0.338582677
1949,11,14,5,0.5,0.019685039
1949,11,15,0,0,0
1949,11,16,0,0,0
1949,11,17,0,0,0
1949,11,18,0,0,0
1949,11,19,0,0,0
1949,11,20,0,0,0
1949,11,21,0,0,0
1949,11,22,0,0,0
1949,11,23,0,0,0
1949,11,24,0,0,0
1949,11,25,307,30.7,1.208661417
1949,11,26,0,0,0
1949,11,27,0,0,0
1949,11,28,0,0,0
1949,11,29,76,7.6,0.299212598
1949,11,30,0,0,0
1949,12,1,0,0,0
1949,12,2,0,0,0
1949,12,3,0,0,0
1949,12,4,0,0,0
1949,12,5,0,0,0
1949,12,6,0,0,0
1949,12,7,36,3.6,0.141732283
1949,12,8,0,0,0
1949,12,9,0,0,0
1949,12,10,25,2.5,0.098425197
1949,12,11,112,11.2,0.440944882
1949,12,12,5,0.5,0.019685039
1949,12,13,8,0.8,0.031496063
1949,12,14,69,6.9,0.271653543
1949,12,15,56,5.6,0.220472441
1949,12,16,0,0,0
1949,12,17,0,0,0
1949,12,18,69,6.9,0.271653543
1949,12,19,28,2.8,0.11023622
1949,12,20,0,0,0
1949,12,21,0,0,0
1949,12,22,28,2.8,0.11023622
1949,12,23,20,2,0.078740157
1949,12,24,0,0,0
1949,12,25,0,0,0
1949,12,26,384,38.4,1.511811024
1949,12,27,43,4.3,0.169291339
1949,12,28,0,0,0
1949,12,29,0,0,0
1949,12,30,0,0,0
1949,12,31,0,0,0
1950,1,1,0,0,0
1950,1,2,0,0,0
1950,1,3,0,0,0
1950,1,4,8,0.8,0.031496063
1950,1,5,0,0,0
1950,1,6,0,0,0
1950,1,7,30,3,0.118110236
1950,1,8,0,0,0
1950,1,9,0,0,0
1950,1,10,41,4.1,0.161417323
1950,1,11,79,7.9,0.311023622
1950,1,12,51,5.1,0.200787402
1950,1,13,5,0.5,0.019685039
1950,1,14,8,0.8,0.031496063
1950,1,15,0,0,0
1950,1,16,30,3,0.118110236
1950,1,17,224,22.4,0.881889764
1950,1,18,10,1,0.039370079
1950,1,19,114,11.4,0.448818898
1950,1,20,0,0,0
1950,1,21,0,0,0
1950,1,22,0,0,0
1950,1,23,0,0,0
1950,1,24,30,3,0.118110236
1950,1,25,0,0,0
1950,1,26,0,0,0
1950,1,27,91,9.1,0.358267717
1950,1,28,89,8.9,0.350393701
1950,1,29,5,0.5,0.019685039
1950,1,30,15,1.5,0.059055118
1950,1,31,0,0,0
1950,2,1,5,0.5,0.019685039
1950,2,2,5,0.5,0.019685039
1950,2,3,0,0,0
1950,2,4,0,0,0
1950,2,5,0,0,0
1950,2,6,0,0,0
1950,2,7,107,10.7,0.421259843
1950,2,8,0,0,0
1950,2,9,66,6.6,0.25984252
1950,2,10,25,2.5,0.098425197
1950,2,11,0,0,0
1950,2,12,0,0,0
1950,2,13,10,1,0.039370079
1950,2,14,76,7.6,0.299212598
1950,2,15,0,0,0
1950,2,16,0,0,0
1950,2,17,0,0,0
1950,2,18,0,0,0
1950,2,19,0,0,0
1950,2,20,0,0,0
1950,2,21,0,0,0
1950,2,22,160,16,0.62992126
1950,2,23,0,0,0
1950,2,24,0,0,0
1950,2,25,0,0,0
1950,2,26,0,0,0
1950,2,27,0,0,0
1950,2,28,0,0,0
1950,3,1,71,7.1,0.279527559
1950,3,2,0,0,0
1950,3,3,0,0,0
1950,3,4,0,0,0
1950,3,5,13,1.3,0.051181102
1950,3,6,0,0,0
1950,3,7,122,12.2,0.480314961
1950,3,8,69,6.9,0.271653543
1950,3,9,0,0,0
1950,3,10,0,0,0
1950,3,11,0,0,0
1950,3,12,51,5.1,0.200787402
1950,3,13,175,17.5,0.688976378
1950,3,14,5,0.5,0.019685039
1950,3,15,0,0,0
1950,3,16,0,0,0
1950,3,17,0,0,0
1950,3,18,0,0,0
1950,3,19,0,0,0
1950,3,20,119,11.9,0.468503937
1950,3,21,0,0,0
1950,3,22,8,0.8,0.031496063
1950,3,23,0,0,0
1950,3,24,0,0,0
1950,3,25,0,0,0
1950,3,26,0,0,0
1950,3,27,0,0,0
1950,3,28,269,26.9,1.059055118
1950,3,29,0,0,0
1950,3,30,0,0,0
1950,3,31,0,0,0
1950,4,1,0,0,0
1950,4,2,0,0,0
